timestamp,system.cpu.pct_usage,system.cpu.system,system.cpu.user,system.disk.pct_usage,system.io.r_await,system.io.r_s,system.io.w_await,system.io.w_s,system.mem.pct_usage
1651334400.0,26.57,1.83,24.53,47.02,0.38,2.0,0.31,22.0,50.2
1651334460.0,25.61,2.44,22.28,47.02,0.0,0.0,0.0,0.0,53.04
1651334520.0,31.19,1.92,27.91,47.03,0.5,1.5,0.31,15.5,55.42
1651334580.0,31.37,1.91,29.13,47.03,0.0,0.0,0.31,17.0,58.44
1651334640.0,31.62,2.15,29.11,47.03,0.0,0.0,0.32,12.5,59.78
1651334700.0,33.51,1.62,31.55,47.03,0.5,1.0,0.24,12.5,64.03
1651334760.0,29.78,2.3,26.95,47.02,0.38,23.0,0.28,11.0,59.94
1651334820.0,12.72,1.69,10.86,47.02,0.6,2.5,0.34,11.0,62.41
1651334880.0,16.73,2.15,14.23,47.02,0.0,0.0,0.26,13.5,59.51
1651334940.0,28.27,1.95,26.15,47.02,0.35,3.5,0.26,17.0,53.84
